	id	sentence	sentiment
0	1	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 1.50%에서 1.25%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
1	2	세계경제를 보면 미국은 일시적인 부진에서 벗어나는 모습을 나타내었다. 유로지역에서는 미약하지만 개선 움직임이 이어졌으며 중국은 완만한 성장세를 유지하였다. 앞으로 세계경제는 미약한 회복세를 이어가는 가운데 미 연준의 통화정책 정상화 신흥시장국의 금융?경제 상황 국제유가 움직임 등에 영향받을 것으로 보인다.	DOWN
2	3	국내경제를 보면 수출이 감소세를 지속하고 소비 등 내수의 개선 움직임이 약화된 가운데 경제주체들의 심리도 부진하였다. 고용 면에서는 취업자수 증가세가 다소 둔화되었으나 고용률 및 실업률은 전년동월과 같은 수준을 유지하였다. 앞으로 국내경제는 완만한 성장세를 이어갈 것으로 전망되나 대내외 경제여건 등에 비추어 4월에 전망한 성장경로의 하방위험이 커진 것으로 판단된다.	DOWN
3	4	5월중 소비자물가 상승률은 농산물 가격의 상승폭 둔화 등에 따라 전월의 1.0%에서 0.8%로 낮아졌으며 농산물 및 석유류 제외 근원인플레이션율도 전월의 1.8%에서 1.6%로 하락하였다. 앞으로 소비자물가 상승률은 저유가의 영향 등으로 낮은 수준을 이어갈 것으로 보인다. 주택매매가격과 전세가격은 낮은 오름세를 나타내었다.	DOWN
4	5	5월 이후 금융시장에서는 주가가 글로벌 증시 움직임 등을 반영하여 하락 후 상승하였으며 장기시장금리는 일부 경제지표 부진 등으로 하락하였다. 원/달러 환율은 미 연준 정책금리 인상 기대 변화 등에 영향받아 큰 폭으로 등락하였으며 원/엔 환율은 상승하였다. 가계대출은 주택담보대출을 중심으로 예년 수준을 상회하는 높은 증가세를 이어갔다.	DOWN
5	6	금융통화위원회는 앞으로 성장세 회복이 이어지고 중기적 시계에서 물가상승률이 목표수준에 접근하도록 하는 한편 금융안정에 더욱 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 영국의 EU 탈퇴 가능성 주요국의 통화정책 변화 및 자본 유출입 동향 기업 구조조정 진행 상황 가계부채 증가세 등을 면밀히 점검해 나갈 것이다.	DOWN
6	7	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 1.75%에서 1.50%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
7	8	세계경제를 보면 미국에서는 경기가 일시적 부진에서 벗어나는 모습을 보였으며 유로지역에서도 개선 움직임이 이어졌다. 중국 등 신흥시장국의 성장 둔화추세는 지속되었다. 앞으로 세계경제는 미국 등 선진국을 중심으로 완만한 회복세를 지속할 것으로 전망되나 주요국의 통화정책 변화 신흥시장국의 성장세 약화 그리스 채무재조정 관련 불확실성 등에 영향받을 가능성이 상존하고 있다.	DOWN
8	9	국내경제를 보면 수출 감소세가 확대되고 회복세를 보이던 소비도 메르스(MERS; 중동호흡기증후군) 사태가 발생하면서 위축되는 모습을 나타내었다. 고용 면에서는 실업률이 구직활동 증가 등으로 높아졌으나 고용률은 취업자수가 증가하면서 상승하였다. 앞으로 국내경제는 수출부진 메르스 사태의 영향 등으로 4월에 전망한 성장경로의 하방위험이 커진 것으로 판단된다.	DOWN
9	10	5월중 소비자물가 상승률은 농축수산물 가격 상승 등으로 전월의 0.4%에서 0.5%로 소폭 높아졌으며 농산물 및 석유류 제외 근원인플레이션율은 전월의 2.0%에서 2.1%로 소폭 상승하였다. 앞으로 물가상승률은 저유가의 영향 등으로 낮은 수준을 이어갈 것으로 보인다. 주택매매가격과 전세가격은 수도권과 지방 모두에서 오름세가 이어졌다.	DOWN
