id	sentence	sentiment
2	세계경제를 보면 미국은 일시적인 부진에서 벗어나는 모습을 나타내었다. 유로지역에서는 미약하지만 개선 움직임이 이어졌으며 중국은 완만한 성장세를 유지하였다. 앞으로 세계경제는 미약한 회복세를 이어가는 가운데 미 연준의 통화정책 정상화 신흥시장국의 금융?경제 상황 국제유가 움직임 등에 영향받을 것으로 보인다.	DOWN
4	5월중 소비자물가 상승률은 농산물 가격의 상승폭 둔화 등에 따라 전월의 1.0%에서 0.8%로 낮아졌으며 농산물 및 석유류 제외 근원인플레이션율도 전월의 1.8%에서 1.6%로 하락하였다. 앞으로 소비자물가 상승률은 저유가의 영향 등으로 낮은 수준을 이어갈 것으로 보인다. 주택매매가격과 전세가격은 낮은 오름세를 나타내었다.	DOWN
5	5월 이후 금융시장에서는 주가가 글로벌 증시 움직임 등을 반영하여 하락 후 상승하였으며 장기시장금리는 일부 경제지표 부진 등으로 하락하였다. 원/달러 환율은 미 연준 정책금리 인상 기대 변화 등에 영향받아 큰 폭으로 등락하였으며 원/엔 환율은 상승하였다. 가계대출은 주택담보대출을 중심으로 예년 수준을 상회하는 높은 증가세를 이어갔다.	DOWN
6	금융통화위원회는 앞으로 성장세 회복이 이어지고 중기적 시계에서 물가상승률이 목표수준에 접근하도록 하는 한편 금융안정에 더욱 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 영국의 EU 탈퇴 가능성 주요국의 통화정책 변화 및 자본 유출입 동향 기업 구조조정 진행 상황 가계부채 증가세 등을 면밀히 점검해 나갈 것이다.	DOWN
7	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 1.75%에서 1.50%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
8	세계경제를 보면 미국에서는 경기가 일시적 부진에서 벗어나는 모습을 보였으며 유로지역에서도 개선 움직임이 이어졌다. 중국 등 신흥시장국의 성장 둔화추세는 지속되었다. 앞으로 세계경제는 미국 등 선진국을 중심으로 완만한 회복세를 지속할 것으로 전망되나 주요국의 통화정책 변화 신흥시장국의 성장세 약화 그리스 채무재조정 관련 불확실성 등에 영향받을 가능성이 상존하고 있다.	DOWN
9	국내경제를 보면 수출 감소세가 확대되고 회복세를 보이던 소비도 메르스(MERS; 중동호흡기증후군) 사태가 발생하면서 위축되는 모습을 나타내었다. 고용 면에서는 실업률이 구직활동 증가 등으로 높아졌으나 고용률은 취업자수가 증가하면서 상승하였다. 앞으로 국내경제는 수출부진 메르스 사태의 영향 등으로 4월에 전망한 성장경로의 하방위험이 커진 것으로 판단된다.	DOWN
10	5월중 소비자물가 상승률은 농축수산물 가격 상승 등으로 전월의 0.4%에서 0.5%로 소폭 높아졌으며 농산물 및 석유류 제외 근원인플레이션율은 전월의 2.0%에서 2.1%로 소폭 상승하였다. 앞으로 물가상승률은 저유가의 영향 등으로 낮은 수준을 이어갈 것으로 보인다. 주택매매가격과 전세가격은 수도권과 지방 모두에서 오름세가 이어졌다.	DOWN
11	금융시장에서는 미 연준의 정책금리 인상기대 강화 등의 영향으로 주가가 하락하고 원/달러 환율이 상승하였다. 원/엔 환율은 일정 범위 내에서 등락하였다. 장기시장금리는 주요국 금리 움직임 국내 경제지표 등을 반영하여 상승 후 반락하였다. 은행 가계대출은 주택담보대출을 중심으로 예년 수준을 크게 상회하는 증가세를 이어갔다.	DOWN
12	금융통화위원회는 앞으로 성장세 회복이 이어지는 가운데 중기적 시계에서 물가안정기조가 유지되도록 하는 한편 금융안정에 더욱 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 가계부채의 증가세 주요국의 통화정책 변화 등 해외 위험요인 자본유출입 동향 등을 면밀히 점검해 나갈 것이다.	DOWN
13	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.00%에서 1.75%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
14	세계경제를 보면 미국에서는 견실한 회복세가 지속되고 유로지역에서도 완만하나마 개선 움직임이 나타났으나 중국 등 신흥시장국의 성장세는 둔화되었다. 앞으로 세계경제는 미국 등 선진국을 중심으로 완만한 회복세를 지속할 것으로 전망되나 주요국의 통화정책 변화 신흥시장국의 성장세 약화 지정학적 리스크 등에 영향받을 가능성이 상존하고 있다.	DOWN
15	국내경제를 보면 수출이 석유제품 등의 단가하락 등에 기인하여 감소하고 민간소비 설비투자 등 내수가 부진한 모습을 나타내었으며 경제주체들의 심리도 뚜렷이 회복되지 못하였다. 고용 면에서는 취업자수가 50세 이상 연령층과 서비스업을 중심으로 꾸준히 증가하였다. 앞으로 국내경제는 완만한 회복세를 나타낼 것이나 당초에 전망한 성장경로를 하회할 것으로 예상된다. 이에 따라 GDP갭의 마이너스 상태 지속기간도 예상보다 길어질 것으로 판단된다.	DOWN
16	2월중 소비자물가 상승률은 석유류가격의 하락폭이 확대되고 석유류 제외 공업제품가격의 오름세가 둔화되면서 전월의 0.8%에서 0.5%로 낮아졌다. 농산물 및 석유류 제외 근원인플레이션율은 전월의 2.4%에서 2.3%로 소폭 하락하였다. 앞으로 물가상승률은 저유가의 영향 등으로 당초 전망보다 낮은 수준을 이어갈 것으로 보인다. 주택매매가격의 오름세는 소폭 확대되었으며 전세가격은 수도권을 중심으로 상승세를 이어갔다.	DOWN
17	금융시장에서는 주가가 외국인 주식 순매수 등으로 상승하였다가 최근 주요국 주가하락 등에 영향받아 하락하였다. 원/달러 환율은 글로벌 미 달러화 강세 엔화 약세에 따른 동조현상 등으로 상승하였으며 원/엔 환율은 일정 범위 내에서 등락하였다. 장기시장금리는 상승 후 하락하였다. 은행 가계대출은 주택담보대출을 중심으로 예년 수준을 상회하는 증가세를 이어갔다.	DOWN
18	금융통화위원회는 앞으로 성장세 회복을 지원하는 가운데 중기적 시계에서 물가안정기조가 유지되도록 하는 한편 금융안정에 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 국제유가 및 주요국의 통화정책 변화 등 해외 위험요인 경제 내의 유휴생산능력 추이 가계부채 및 자본유출입 동향 등을 면밀히 점검해 나갈 것이다.	DOWN
20	세계경제를 보면 미국에서는 회복세가 지속되었으나 유로지역에서는 경기부진이 이어졌으며 신흥시장국에서는 국가별로 차별화된 성장세를 나타내었다. 앞으로 세계경제는 미국을 중심으로 완만한 회복세를 지속할 것으로 전망되나 미 연준의 통화정책 기조 변화에 따른 글로벌 금융시장 여건 변화 유로지역의 경기부진 장기화 일부 신흥시장국의 성장세 약화 지정학적 리스크 등에 영향받을 가능성이 상존하고 있다.	DOWN
23	금융시장에서는 국제금융시장의 변동성이 확대된 가운데 외국인 투자자의 주식 순매도세 전환 등의 영향으로 주가가 큰 폭으로 하락하였다. 원/달러 환율은 빠르게 상승하였으며 장기시장금리는 상당폭 하락하였다.	DOWN
24	금융통화위원회는 앞으로 성장세 회복을 지원하는 가운데 중기적 시계에서 물가안정기조가 유지되도록 하는 한편 금융안정에 더욱 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 미 연준의 통화정책 기조 변화 등 해외 위험요인 가계부채 및 자본유출입 동향 등을 면밀히 점검해 나갈 것이다.	DOWN
25	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.50%에서 2.25%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
28	7월중 소비자물가 상승률은 농산물 및 석유류 가격의 하락폭이 확대되면서 전월의 1.7%에서 1.6%로 낮아졌다. 농산물 및 석유류 제외 근원인플레이션율은 전월의 2.1%에서 2.2%로 소폭 상승하였다. 앞으로 물가상승률은 점차 높아지겠으나 당분간 상승압력은 크지 않을 것으로 판단된다. 주택매매가격은 지방에서 소폭의 오름세를 보였으며 전세가격은 수도권과 지방에서 모두 소폭의 상승세를 이어갔다.	DOWN
29	 금융시장에서는 주가가 정부의 경제정책 발표 등에 힘입어 큰 폭 상승한 후 지정학적 리스크 등으로 소폭 반락하였다. 환율은 글로벌 미 달러화 강세 등의 영향으로 상승하였으며 장기시장금리는 하락하였다.	DOWN
30	금융통화위원회는 앞으로 성장세 회복을 지원하는 가운데 중기적 시계에서 소비자물가 상승률이 물가안정목표 범위 내에서 유지되도록 통화정책을 운용해 나갈 것이다. 이 과정에서 이번 기준금리 인하와 정부 경제정책 등의 효과를 지켜보면서 주요국의 통화정책 변화 등 해외 위험요인 경제주체들의 심리 변화 가계부채 동향을 비롯하여 앞으로 입수되는 경제지표의 움직임 등을 면밀히 점검해 나갈 것이다.	DOWN
34	4월중 소비자물가 상승률은 전월의 1.3%와 유사한 1.2%를 기록하였으며 농산물 및 석유류 제외 근원인플레이션율도 전월의 1.5%와 비슷한 1.4%를 나타냈다. 앞으로 물가상승률은 공급측면에서 특이요인이 발생하지 않는 한 당분간 낮게 유지될 것으로 전망된다. 주택매매가격의 경우 수도권에서는 거래가 증가하면서 하락세가 둔화되었으며 지방에서는 완만한 상승세가 이어졌다.	DOWN
35	금융시장에서는 주가와 환율이 국내 지정학적 위험 및 기업실적 악화 우려와 이에 따른 외국인 주식투자자금 유출 상황에 주로 영향받아 큰 폭으로 변동하였다. 장기시장금리는 외국인 국채선물투자에 의해 크게 영향받는 가운데 통화정책 및 경기에 대한 기대의 변화 등에 따라 등락하였다.	DOWN
37	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.00%에서 2.75%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
